Brachyspira hyodysenteriae WA1
Bacillus licheniformis DSM 13 = ATCC 14580
Bacillus phage BM5
Synechococcus phage S-MbCM100
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
Haemophilus influenzae R2866
Escherichia phage vB_EcoM_JS09
Salmonella phage SEN1
Salmonella phage GG32
Salmonella phage SEN4
Salmonella phage SEN5
Synechococcus phage S-WAM1
Salmonella phage BPS15Q2
Synechococcus phage S-WAM2
Escherichia phage MX01
Escherichia phage WG01
Campylobacter phage PC14
Citrobacter phage Michonne
Pseudomonas phage KPP10
Pseudomonas phage PAK_P4
Synechococcus phage S-PM2
Arthrobacter phage BarretLemon
Bacillus phage SP-15
Cyanophage S-RIM50
Acinetobacter phage vB_AbaM_phiAbaA1
Cyanophage S-RIM32
Shewanella phage Spp001
Klebsiella phage KP27
Klebsiella phage KP15
Bacillus phage Deep Blue
Salmonella phage SJ46
Salmonella phage vB_SalM_PM10
Erwinia phage vB_EamM_Huxley
Acinetobacter phage LZ35
Pseudomonas phage phiMK
Escherichia phage vB_EcoM-UFV13
Bacillus phage Phrodo
Klebsiella phage PKO111
Shigella phage SHSML-52-1
Klebsiella phage vB_KpnM_KpV477
Escherichia phage vB_EcoM_Alf5
Mycobacterium phage Tonenili
Bacillus phage Nemo
Citrobacter phage vB_CfrM_CfP1
Bacillus phage DirtyBetty
Bacillus phage NotTheCreek
Enterobacter phage Arya
Escherichia phage HY03
Erwinia phage vB_EamM_Phobos
Salmonella phage NR01
Bacillus phage Nigalana
Escherichia phage UFV-AREG1
Bacillus phage SageFayge
Shigella phage SHSML-45
Bacillus phage Kida
Shigella phage SHFML-26
Erwinia phage vB_EamM_Kwan
Erwinia phage vB_EamM_EarlPhillipIV
Shigella phage SHBML-50-1
Salmonella phage vB_SnwM_CGG4-1
Bacillus phage SalinJah
Bacillus phage Belinda
Morganella phage vB_MmoM_MP1
Bacillus phage AR9
Bacillus phage DIGNKC
Erwinia phage vB_EamM_ChrisDB
Bacillus phage Zuko
Erwinia phage vB_EamM_Asesino
Shigella phage SHFML-11
Pseudomonas phage vB_PsyM_KIL1
Staphylococcus phage Stau2
Bacillus phage Eldridge
Pseudomonas phage K5
Ralstonia phage RSP15
Pseudomonas phage phi3
Bacillus phage Shbh1
Bacillus phage SPG24
Escherichia phage SUSP2
Escherichia phage SUSP1
Campylobacter virus CPX
Burkholderia phage BcepB1A
Burkholderia virus BcepMu
Escherichia virus 186
Acinetobacter phage vB_AbaM_IME200
Arthrobacter phage vB_ArtM-ArV1
Cronobacter phage S13
Cronobacter phage CR5
Edwardsiella phage GF-2
Salmonella phage 19
Salmonella phage 21
Salmonella phage 38
Mycobacterium phage HyRo
Rhizobium phage vB_RleM_PPF1
Pseudomonas phage PPpW-3
Vibrio phage ValKK3
Pseudomonas phage PAK_P3
Escherichia phage slur02
Escherichia phage slur07
Pectobacterium phage phiTE
Microcystis aeruginosa phage Ma-LMM01
Xanthomonas phage OP2
Escherichia phage slur14
Escherichia phage slur16
Pseudomonas phage DL68
Pseudomonas phage DL60
Pseudomonas phage K8
Staphylococcus phage 812
Clostridium phage phiCDHM13
Pseudomonas phage PaoP5
Pseudomonas phage VCM
Bacillus phage Bp8p-C
Brevibacillus phage Jimmer1
Pseudoalteromonas phage H101
Escherichia phage APCEc01
Lactobacillus phage LfeInf
Clostridium phage phiCD211
Dickeya virus Limestone
Enterobacteria phage phi92
Mycobacterium phage Breeniome
Lactobacillus phage phi jlb1
Clostridium phage phiMMP03
Clostridium phage phiCD481-1
Clostridium phage phiMMP01
Clostridium phage phiCD506
Clostridium phage phiCD505
Citrobacter phage Merlin
Citrobacter phage Margaery
Brevibacillus phage Abouo
Enterococcus phage EFLK1
Escherichia phage JH2
Citrobacter phage IME-CF2
Enterococcus phage EFDG1
Microcystis phage MaMV-DC
Clostridium phage phiCDHM11
Stenotrophomonas phage IME13
Pseudomonas phage PhiPA3
Clostridium phage phiCDHM19
Acinetobacter phage phiAC-1
Mycobacterium phage Alice
Bacillus phage Shanette
Bacillus phage JL
Brevibacillus phage Osiris
Staphylococcus phage phiIPLA-C1C
Escherichia phage vB_EcoM_VR26
Prochlorococcus phage P-TIM68
Ralstonia phage RSL2
Sinorhizobium phage phiN3
Bacillus phage Eyuki
Escherichia phage pro483
Pectobacterium bacteriophage PM2
Pseudomonas phage vB_Pae_PS44
Escherichia phage vB_EcoM_VR25
Ralstonia phage RSF1
Mannheimia phage vB_MhM_587AP1
Escherichia phage pro147
Escherichia phage vB_EcoM_VR20
Bacillus phage TsarBomba
Bacillus phage AvesoBmore
Pseudomonas phage vB_PaeM_PS24
Enterobacteria phage vB_EcoM_VR5
Escherichia phage HY02
Acinetobacter phage YMC11/12/R2315
Enterobacteria phage QL01
Escherichia phage vB_EcoM_AYO145A
Yersinia phage vB_YenM_TG1
Mannheimia phage vB_MhM_3927AP2
Staphylococcus phage phiIPLA-RODI
Proteus phage vB_PmiM_Pm5461
Klebsiella phage Matisse
Enterobacteria phage WPhi
Klebsiella phage vB_KpnM_KB57
Edwardsiella phage PEi20
Cronobacter phage PBES 02
Klebsiella phage JD18
Sinorhizobium phage phiM9
Cyanophage P-TIM40
Pseudomonas phage C11
Pseudomonas phage PaP1
Bacillus phage JBP901
Bacillus phage BCP8-2
Staphylococcus virus SA11
Vibrio phage nt-1
Acinetobacter phage ZZ1
Escherichia phage vB_EcoM_ECO1230-10
Escherichia phage AR1
Enterobacteria phage RB68
Campylobacter virus CP220
Campylobacter virus CPt10
Staphylococcus phage SA1
Lactobacillus phage LBR48
Vibrio phage VP585
Flavobacterium phage FCL-2
Escherichia phage vB_EcoM-ep3
Campylobacter phage CP30A
Salmonella phage STP4-a
Pseudomonas phage vB_PaeM_C1-14_Ab28
Pseudomonas phage vB_PaeM_PAO1_Ab03
Pseudomonas phage vB_PaeM_PAO1_Ab27
Brevibacillus phage Davies
Staphylococcus phage S25-3
Staphylococcus phage S25-4
Enterobacteria phage SfMu
Enterobacteriaphage UAB_Phi87
Escherichia phage HY01
Enterobacteria phage SfI
Escherichia phage vB_EcoM-VpaE1
Acinetobacter phage YMC13/03/R2096
Citrobacter phage Moon
Salmonella phage HB-2014
Yersinia phage PST
Salmonella phage SPN3US
Klebsiella phage K64-1
Escherichia phage EC6
Vibrio phage PV94
Escherichia phage PBECO 4
Yersinia phage phiD1
Salmonella phage SSE121
Salmonella phage STML-198
Erwinia phage phiEa2809
